UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,01929,2201929,Bonfim do Piauí
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,01945,2201945,Boqueirão do Piauí
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,01960,2201960,Brasileira
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,01988,2201988,Brejo do Piauí
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02000,2202000,Buriti dos Lopes
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02026,2202026,Buriti dos Montes
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,02059,2202059,Cabeceiras do Piauí
22,Piauí,04,Sudeste Piauiense,013,Picos,02075,2202075,Cajazeiras do Piauí
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02083,2202083,Cajueiro da Praia
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02091,2202091,Caldeirão Grande do Piauí
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02109,2202109,Campinas do Piauí
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02117,2202117,Campo Alegre do Fidalgo
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02133,2202133,Campo Grande do Piauí
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,02174,2202174,Campo Largo do Piauí
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02208,2202208,Campo Maior
22,Piauí,03,Sudoeste Piauiense,009,Floriano,02251,2202251,Canavieira
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,02307,2202307,Canto do Buriti
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02406,2202406,Capitão de Campos
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02455,2202455,Capitão Gervásio Oliveira
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,02505,2202505,Caracol
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02539,2202539,Caraúbas do Piauí
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02554,2202554,Caridade do Piauí
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02604,2202604,Castelo do Piauí
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02653,2202653,Caxingó
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02703,2202703,Cocal
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02711,2202711,Cocal de Telha
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02729,2202729,Cocal dos Alves
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,02737,2202737,Coivaras
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,02752,2202752,Colônia do Gurguéia
22,Piauí,04,Sudeste Piauiense,013,Picos,02778,2202778,Colônia do Piauí
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02802,2202802,Conceição do Canindé
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,02851,2202851,Coronel José Dias
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,02901,2202901,Corrente
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,03008,2203008,Cristalândia do Piauí
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,03107,2203107,Cristino Castro
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,03206,2203206,Curimatá
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,03230,2203230,Currais
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,03271,2203271,Curral Novo do Piauí
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,03255,2203255,Curralinhos
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,03305,2203305,Demerval Lobão
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,03354,2203354,Dirceu Arcoverde
22,Piauí,04,Sudeste Piauiense,013,Picos,03404,2203404,Dom Expedito Lopes
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,03453,2203453,Dom Inocêncio
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,03420,2203420,Domingos Mourão
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,03503,2203503,Elesbão Veloso
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,03602,2203602,Eliseu Martins
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,03701,2203701,Esperantina
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,03750,2203750,Fartura do Piauí
